"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vb_freq","total_freq","vbd_freq","vbn_freq"
"142","abstained","actionLstm","Intrans","transf-longmod",9,-1.12964,0,2,0,2,1,0,"1","2","2","0"
"143","abstained","rnng","Intrans","transf-nomod",5,-2.08829,0,2,0,2,1,0,"1","2","2","0"
"144","abstained","rnng","Intrans","transf-mod",3,-2.74248,0,2,0,2,1,0,"1","2","2","0"
"145","abstained","rnng","Intrans","transf-mod",4,-3.872348,0,2,0,2,1,0,"1","2","2","0"
"146","abstained","rnng","Intrans","transf-nomod",8,-4.16045,0,2,0,2,1,0,"1","2","2","0"
"147","abstained","actionLstm","Intrans","transf-longmod",1,1.23802,0,2,0,2,1,0,"1","2","2","0"
"148","abstained","rnng","Intrans","transf-nomod",6,-1.93816,0,2,0,2,1,0,"1","2","2","0"
"149","abstained","rnng","Intrans","transf-nomod",7,0.372039999999998,0,2,0,2,1,0,"1","2","2","0"
"150","abstained","actionLstm","Intrans","transf-longmod",0,-4.02969,0,2,0,2,1,0,"1","2","2","0"
"151","alerted","lstm","Trans","transf-longmod",3,0.989308600000008,0,2,0,2,1,0,"1","2","2","0"
"152","alerted","lstm","Trans","transf-longmod",2,-0.00686009999999726,0,2,0,2,1,0,"1","2","2","0"
"153","alerted","lstm","Trans","transf-longmod",7,0.524107299999997,0,2,0,2,1,0,"1","2","2","0"
"154","alerted","lstm","Trans","transf-longmod",4,1.8916282,0,2,0,2,1,0,"1","2","2","0"
"155","alerted","lstm","Trans","transf-longmod",5,1.4456287,0,2,0,2,1,0,"1","2","2","0"
"156","alerted","lstm","Trans","transf-longmod",6,-0.210777699999994,0,2,0,2,1,0,"1","2","2","0"
"157","alerted","lstm","Trans","transf-mod",1,3.2104658,0,2,0,2,1,0,"1","2","2","0"
"158","alerted","lstm","Trans","transf-longmod",8,1.52253750000001,0,2,0,2,1,0,"1","2","2","0"
"159","alerted","lstm","Trans","transf-longmod",9,1.3345681,0,2,0,2,1,0,"1","2","2","0"
"160","alerted","lstm","Trans","transf-mod",0,2.42589570000001,0,2,0,2,1,0,"1","2","2","0"
"161","alerted","lstm","Trans","transf-longmod",1,1.5534568,0,2,0,2,1,0,"1","2","2","0"
"162","alerted","rnng","Trans","transf-longmod",0,5.54349000000001,0,2,0,2,1,0,"1","2","2","0"
"163","alerted","rnng","Trans","transf-longmod",1,8.326855,0,2,0,2,1,0,"1","2","2","0"
"164","alerted","lstm","Trans","transf-longmod",0,-0.638532599999998,0,2,0,2,1,0,"1","2","2","0"
"165","alerted","rnng","Trans","transf-longmod",3,2.38066999999999,0,2,0,2,1,0,"1","2","2","0"
"166","alerted","rnng","Trans","transf-longmod",4,1.077979,0,2,0,2,1,0,"1","2","2","0"
"167","alerted","rnng","Trans","transf-longmod",5,7.41661,0,2,0,2,1,0,"1","2","2","0"
"168","alerted","rnng","Trans","transf-longmod",2,5.51373,0,2,0,2,1,0,"1","2","2","0"
"169","alerted","rnng","Trans","transf-longmod",7,0.672148999999997,0,2,0,2,1,0,"1","2","2","0"
"170","alerted","rnng","Trans","transf-longmod",8,2.998348,0,2,0,2,1,0,"1","2","2","0"
"171","alerted","rnng","Trans","transf-longmod",9,1.360294,0,2,0,2,1,0,"1","2","2","0"
"172","alerted","rnng","Trans","transf-longmod",6,2.359687,0,2,0,2,1,0,"1","2","2","0"
"173","alerted","actionLstm","Trans","transf-longmod",0,2.20147,0,2,0,2,1,0,"1","2","2","0"
"174","alerted","actionLstm","Trans","transf-longmod",1,2.42407,0,2,0,2,1,0,"1","2","2","0"
"175","alerted","actionLstm","Trans","transf-longmod",2,1.07093,0,2,0,2,1,0,"1","2","2","0"
"176","alerted","actionLstm","Trans","transf-longmod",3,-3.1048,0,2,0,2,1,0,"1","2","2","0"
"177","alerted","actionLstm","Trans","transf-longmod",4,-0.094530000000006,0,2,0,2,1,0,"1","2","2","0"
"178","alerted","actionLstm","Trans","transf-longmod",5,3.58812,0,2,0,2,1,0,"1","2","2","0"
"179","alerted","actionLstm","Trans","transf-longmod",6,6.88516,0,2,0,2,1,0,"1","2","2","0"
"180","alerted","actionLstm","Trans","transf-longmod",7,-0.0916999999999959,0,2,0,2,1,0,"1","2","2","0"
"181","alerted","actionLstm","Trans","transf-longmod",8,0.113599999999998,0,2,0,2,1,0,"1","2","2","0"
"182","alerted","actionLstm","Trans","transf-longmod",9,3.5871,0,2,0,2,1,0,"1","2","2","0"
"183","alerted","actionLstm","Trans","transf-mod",0,2.78614,0,2,0,2,1,0,"1","2","2","0"
"184","alerted","actionLstm","Trans","transf-mod",1,1.79209,0,2,0,2,1,0,"1","2","2","0"
"185","alerted","actionLstm","Trans","transf-mod",2,1.97909,0,2,0,2,1,0,"1","2","2","0"
"186","alerted","actionLstm","Trans","transf-mod",3,11.24313,0,2,0,2,1,0,"1","2","2","0"
"187","alerted","actionLstm","Trans","transf-mod",4,2.78915,0,2,0,2,1,0,"1","2","2","0"
"188","alerted","actionLstm","Trans","transf-mod",5,0.876159999999999,0,2,0,2,1,0,"1","2","2","0"
"189","alerted","actionLstm","Trans","transf-mod",6,3.56825,0,2,0,2,1,0,"1","2","2","0"
"190","alerted","actionLstm","Trans","transf-mod",7,5.88443,0,2,0,2,1,0,"1","2","2","0"
"191","alerted","actionLstm","Trans","transf-mod",8,-0.509400000000003,0,2,0,2,1,0,"1","2","2","0"
"192","alerted","actionLstm","Trans","transf-mod",9,-3.88518,0,2,0,2,1,0,"1","2","2","0"
"193","alerted","actionLstm","Trans","transf-nomod",0,12.04508,0,2,0,2,1,0,"1","2","2","0"
"194","alerted","actionLstm","Trans","transf-nomod",1,11.46591,0,2,0,2,1,0,"1","2","2","0"
"195","alerted","actionLstm","Trans","transf-nomod",2,10.73594,0,2,0,2,1,0,"1","2","2","0"
"196","alerted","actionLstm","Trans","transf-nomod",3,10.40675,0,2,0,2,1,0,"1","2","2","0"
"197","alerted","actionLstm","Trans","transf-nomod",4,11.58573,0,2,0,2,1,0,"1","2","2","0"
"198","alerted","actionLstm","Trans","transf-nomod",5,12.51156,0,2,0,2,1,0,"1","2","2","0"
"199","alerted","actionLstm","Trans","transf-nomod",6,9.17155,0,2,0,2,1,0,"1","2","2","0"
"200","alerted","actionLstm","Trans","transf-nomod",7,11.58573,0,2,0,2,1,0,"1","2","2","0"
"201","alerted","actionLstm","Trans","transf-nomod",8,12.37558,0,2,0,2,1,0,"1","2","2","0"
"202","alerted","actionLstm","Trans","transf-nomod",9,11.53152,0,2,0,2,1,0,"1","2","2","0"
"203","alerted","lstm","Trans","transf-nomod",8,6.38136643999999,0,2,0,2,1,0,"1","2","2","0"
"204","alerted","lstm","Trans","transf-nomod",9,0.222856360000002,0,2,0,2,1,0,"1","2","2","0"
"205","alerted","rnng","Trans","transf-nomod",8,4.17184,0,2,0,2,1,0,"1","2","2","0"
"206","alerted","rnng","Trans","transf-nomod",9,6.84723,0,2,0,2,1,0,"1","2","2","0"
"207","alerted","lstm","Trans","transf-mod",8,2.7113588,0,2,0,2,1,0,"1","2","2","0"
"208","alerted","lstm","Trans","transf-mod",9,0.413363599999997,0,2,0,2,1,0,"1","2","2","0"
"209","alerted","lstm","Trans","transf-nomod",0,2.0980028,0,2,0,2,1,0,"1","2","2","0"
"210","alerted","lstm","Trans","transf-nomod",1,-0.174609399999998,0,2,0,2,1,0,"1","2","2","0"
