"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vbd_freq"
"121","alerted","rnng","Trans","transf-longmod",6,2.359687,0,2,0,2,1,0,"2"
"122","alerted","rnng","Trans","transf-longmod",7,0.672148999999997,0,2,0,2,1,0,"2"
"123","alerted","rnng","Trans","transf-longmod",8,2.998348,0,2,0,2,1,0,"2"
"124","alerted","rnng","Trans","transf-longmod",9,1.360294,0,2,0,2,1,0,"2"
"125","alerted","rnng","Trans","transf-mod",0,9.46104,0,2,0,2,1,0,"2"
"126","alerted","rnng","Trans","transf-mod",1,6.71085,0,2,0,2,1,0,"2"
"127","alerted","rnng","Trans","transf-mod",2,6.28139,0,2,0,2,1,0,"2"
"128","alerted","rnng","Trans","transf-mod",3,2.90619,0,2,0,2,1,0,"2"
"129","alerted","rnng","Trans","transf-mod",4,3.17062,0,2,0,2,1,0,"2"
"130","alerted","rnng","Trans","transf-mod",5,5.72603,0,2,0,2,1,0,"2"
"131","alerted","rnng","Trans","transf-mod",6,3.43366,0,2,0,2,1,0,"2"
"132","alerted","rnng","Trans","transf-mod",7,11.861,0,2,0,2,1,0,"2"
"133","alerted","rnng","Trans","transf-mod",8,3.43946,0,2,0,2,1,0,"2"
"134","alerted","rnng","Trans","transf-mod",9,1.43265,0,2,0,2,1,0,"2"
"135","alerted","rnng","Trans","transf-nomod",0,3.46067,0,2,0,2,1,0,"2"
"136","alerted","rnng","Trans","transf-nomod",1,5.96210000000001,0,2,0,2,1,0,"2"
"137","alerted","rnng","Trans","transf-nomod",2,3.48219,0,2,0,2,1,0,"2"
"138","alerted","rnng","Trans","transf-nomod",3,-3.29666,0,2,0,2,1,0,"2"
"139","alerted","rnng","Trans","transf-nomod",4,5.52833,0,2,0,2,1,0,"2"
"140","alerted","rnng","Trans","transf-nomod",5,2.61465,0,2,0,2,1,0,"2"
"141","alerted","rnng","Trans","transf-nomod",6,3.65611,0,2,0,2,1,0,"2"
"142","alerted","rnng","Trans","transf-nomod",7,5.52833,0,2,0,2,1,0,"2"
"143","alerted","rnng","Trans","transf-nomod",8,4.17184,0,2,0,2,1,0,"2"
"144","alerted","rnng","Trans","transf-nomod",9,6.84723,0,2,0,2,1,0,"2"
"145","alerted","actionLstm","Trans","transf-mod",9,-3.88518,0,2,0,2,1,0,"2"
"146","alerted","actionLstm","Trans","transf-nomod",0,12.04508,0,2,0,2,1,0,"2"
"147","alerted","actionLstm","Trans","transf-nomod",1,11.46591,0,2,0,2,1,0,"2"
"148","alerted","actionLstm","Trans","transf-nomod",2,10.73594,0,2,0,2,1,0,"2"
"149","alerted","actionLstm","Trans","transf-nomod",3,10.40675,0,2,0,2,1,0,"2"
"150","alerted","actionLstm","Trans","transf-nomod",4,11.58573,0,2,0,2,1,0,"2"
"151","alerted","actionLstm","Trans","transf-mod",2,1.97909,0,2,0,2,1,0,"2"
"152","alerted","actionLstm","Trans","transf-mod",3,11.24313,0,2,0,2,1,0,"2"
"153","alerted","actionLstm","Trans","transf-mod",4,2.78915,0,2,0,2,1,0,"2"
"154","alerted","actionLstm","Trans","transf-mod",5,0.876159999999999,0,2,0,2,1,0,"2"
"155","alerted","actionLstm","Trans","transf-mod",6,3.56825,0,2,0,2,1,0,"2"
"156","alerted","actionLstm","Trans","transf-mod",7,5.88443,0,2,0,2,1,0,"2"
"157","alerted","actionLstm","Trans","transf-mod",8,-0.509400000000003,0,2,0,2,1,0,"2"
"158","alerted","lstm","Trans","transf-mod",6,0.960027199999999,0,2,0,2,1,0,"2"
"159","alerted","lstm","Trans","transf-mod",7,-1.1987614,0,2,0,2,1,0,"2"
"160","alerted","lstm","Trans","transf-mod",8,2.7113588,0,2,0,2,1,0,"2"
"161","alerted","lstm","Trans","transf-mod",9,0.413363599999997,0,2,0,2,1,0,"2"
"162","alerted","lstm","Trans","transf-nomod",0,2.0980028,0,2,0,2,1,0,"2"
"163","alerted","lstm","Trans","transf-nomod",1,-0.174609399999998,0,2,0,2,1,0,"2"
"164","alerted","actionLstm","Trans","transf-nomod",5,12.51156,0,2,0,2,1,0,"2"
"165","alerted","actionLstm","Trans","transf-nomod",6,9.17155,0,2,0,2,1,0,"2"
